CO.ID,CO.Length,Image,Lab,Cruise,Date,Flight,Pilot,VO,Aircraft,Focal_Length,Sw,Iw,pix.dim,Baro_raw,Launch.Ht,Baro+Ht,Laser_Alt,Altitude,Altimeter,Lpix,object_position,Analyst
WAP-180611,1.4,180611_L_F4_DSC00941.JPG,MaRRS,LMG18-05,180611,180611_L_F4,KCB,M.Shero,LemHex,50,23.5,6000,0.00391667,70.9,2.1,73,68.12,68.12,laser,264.339,center,KCB
WAP-180611,1.4,180611_L_F4_DSC00947.JPG,MaRRS,LMG18-05,180611,180611_L_F4,KCB,M.Shero,LemHex,50,23.5,6000,0.00391667,70.9,2.1,73,67.5,67.5,laser,267.645,center,KCB
WAP-180611,1.4,180611_L_F4_DSC00959.JPG,MaRRS,LMG18-05,180611,180611_L_F4,KCB,M.Shero,LemHex,50,23.5,6000,0.00391667,60.85,2.1,62.95,57.34,57.34,laser,311.291,center,KCB
WAP-180611,1.4,180611_L_F4_DSC00964.JPG,MaRRS,LMG18-05,180611,180611_L_F4,KCB,M.Shero,LemHex,50,23.5,6000,0.00391667,60.7,2.1,62.8,56.24,56.24,laser,313.062,center,KCB
WAP-180611,1.4,180611_L_F4_DSC00986.JPG,MaRRS,LMG18-05,180611,180611_L_F4,KCB,M.Shero,LemHex,50,23.5,6000,0.00391667,50.65,2.1,52.75,46.83,46.83,laser,377.946,center,KCB
WAP-180611,1.4,180611_L_F4_DSC00992.JPG,MaRRS,LMG18-05,180611,180611_L_F4,KCB,M.Shero,LemHex,50,23.5,6000,0.00391667,50.65,2.1,52.75,47.06,47.06,laser,377.653,center,KCB
WAP-180611,1.4,180611_L_F4_DSC00996.JPG,MaRRS,LMG18-05,180611,180611_L_F4,KCB,M.Shero,LemHex,50,23.5,6000,0.00391667,40.15,2.1,42.25,36.71,36.71,laser,473.702,center,KCB
WAP-180611,1.4,180611_L_F4_DSC00998.JPG,MaRRS,LMG18-05,180611,180611_L_F4,KCB,M.Shero,LemHex,50,23.5,6000,0.00391667,40.3,2.1,42.4,37.68,37.68,laser,474.185,center,KCB
WAP-180611,1.4,180611_L_F4_DSC00998.JPG,MaRRS,LMG18-05,180611,180611_L_F4,KCB,M.Shero,LemHex,50,23.5,6000,0.00391667,40.3,2.1,42.4,37.68,37.68,laser,474.021,center,KCB.2
WAP-180611,1.4,180611_L_F4_DSC00998.JPG,MaRRS,LMG18-05,180611,180611_L_F4,KCB,M.Shero,LemHex,50,23.5,6000,0.00391667,40.3,2.1,42.4,37.68,37.68,laser,473.44,center,KCB.3
