"","AID","Species","Image","TL","TL.05.00..Width","TL.10.00..Width","TL.15.00..Width","TL.20.00..Width","TL.25.00..Width","TL.30.00..Width","TL.35.00..Width","TL.40.00..Width","TL.45.00..Width","TL.50.00..Width","TL.55.00..Width","TL.60.00..Width","TL.65.00..Width","TL.70.00..Width","TL.75.00..Width","TL.80.00..Width","TL.85.00..Width","TL.90.00..Width","TL.95.00..Width","Reproductive_Class","HTRange","SHrange","SW","BaroAlt","Launch_Ht","LaserAlt","Altitude","Focal_Length","Iw","Sw","alt_diff","perDif","date_source"
"1","BW180829-30","Blue","180829_A_F3_DSC09961.JPG",20.26817714,1.514474286,2.094485714,2.432825714,2.738942857,2.642274286,2.658385714,2.497271429,2.48116,2.2556,2.094485714,1.933371429,1.772257143,1.546697143,1.256691429,1.063354286,0.934462857,0.67668,0.467231429,0.886128571,"unknown","20%-90%","45%-55%","55%",56.52,3.7211,56.39,56.39,35,6000,23.5,3.8511,6.829402376,"original"
"2","BW180829_A_F3-01","Blue","180829_A_F3_DSC00039.JPG",22.9548,1.75824,2.29548,2.94668,3.22344,3.04436,2.83272,2.62108,2.34432,2.3606,2.2792,1.98616,1.77452,1.57916,1.33496,1.09076,0.78144,0.68376,0.76516,1.18844,"unknown","20%-90%","45%-55%","55%",57.02,3.7211,56.98,56.98,35,6000,23.5,3.7611,6.600737101,"original"
"3","BW180830-48","Blue","180830_A_F3_DSC00505.JPG",21.90931429,1.535377143,1.93216,2.156428571,2.53596,2.708474286,2.553211429,2.65672,2.449702857,2.328942857,1.983914286,2.018417143,1.759645714,1.604382857,1.380114286,1.242102857,0.810817143,0.672805714,0.448537143,1.604382857,"unknown","20%-90%","45%-55%","55%",57.99,3.7211,60.38,60.38,35,6000,23.5,1.3311,2.204537926,"original"
"4","BW180830-52","Blue","180830_L_F4_DSC01483.JPG",21.812454,1.826352,2.345202,2.531988,2.967822,2.947068,2.947068,2.822544,2.635758,2.59425,2.365956,2.241432,1.930122,1.805598,1.45278,1.182978,1.016946,0.684882,0.477342,1.016946,"unknown","20%-90%","45%-55%","55%",100.3,2.9718,103.77,103.77,50,6000,23.5,0.4982,0.480100222,"original"
"5","BW180830_L_F3-01","Blue","180830_L_F3_DSC01423.JPG",21.236762,1.564348,2.13991,2.43507,2.641682,2.612166,2.87781,2.553134,2.420312,2.346522,2.154668,2.036604,1.785718,1.520074,1.416768,1.062576,1.018302,0.752658,0.59032,0.575562,"unknown","20%-90%","45%-55%","55%",68.9,3.7719,73.79,73.79,50,6000,23.5,1.1181,1.515245968,"original"
"6","BW180830_L_F4-02","Blue","180830_L_F4_DSC01478.JPG",19.671012,1.463796,2.085408,2.145564,2.426292,2.386188,2.486448,2.245824,2.185668,2.165616,2.085408,1.844784,1.523952,1.40364,1.183068,0.862236,0.721872,0.681768,0.521352,0.922392,"unknown","20%-90%","45%-55%","55%",96.1,3.7719,100.26,100.26,50,6000,23.5,0.3881,0.387093557,"original"
"7","BW180904-48","Blue","180904_A_F4_DSC02010.JPG",23.32982857,1.75712,2.584,2.805485714,2.820251429,3.189394286,3.130331429,3.026971429,2.68736,2.539702857,2.347748571,2.244388571,2.111497143,1.771885714,1.624228571,1.358445714,1.107428571,0.72352,0.5168,0.708754286,"unknown","20%-90%","45%-55%","55%",49.01,3.7211,51.68,51.68,35,6000,23.5,1.0511,2.033862229,"original"
"8","BW180905-42","Blue","180905_A_F1_DSC02510.JPG",19.70717714,1.696457143,2.27608,2.389177143,2.558822857,2.445725714,2.601234286,2.332628571,2.346765714,2.021611429,1.950925714,1.823691429,1.738868571,1.413714286,1.272342857,1.145108571,0.975462857,0.678582857,0.650308571,0.664445714,"unknown","20%-90%","45%-55%","55%",50,3.7211,49.48,49.48,35,6000,23.5,4.2411,8.571341956,"original"
"9","BW180905-53","Blue","180905_A_F2_DSC02679.JPG",23.37792,1.9025,2.54174,2.67872,2.86136,2.92224,3.05922,2.75482,2.69394,2.45042,2.41998,2.29822,1.9786,1.73508,1.47634,1.1415,0.94364,0.70012,0.4566,0.82188,"unknown","20%-90%","45%-55%","55%",53.27,3.7211,54.13,53.27,35,6000,23.5,2.8611,5.370940492,"original"
"10","BW180828-49","Blue","180828_A_F2_DSC09843 (1).JPG",22.35778857,1.669308571,2.175574286,2.421865714,2.736571429,2.982862857,2.791302857,2.763937143,2.709205714,2.613425714,2.339768571,2.10716,1.806137143,1.559845714,1.395651429,1.094628571,0.875702857,0.643094286,0.533631429,0.875702857,"unknown","20%-90%","45%-55%","55%",47.89,3.7211,47.27,47.89,35,6000,23.5,4.3411,9.064731677,"original"
